candidate,cargo_type,context,query_type,query,count
miR-105,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-105"" OR ""microRNA-105"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-105,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-105"" OR ""microRNA-105"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-122,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-122"" OR ""microRNA-122"")",5
miR-122,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-122"" OR ""microRNA-122"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
miR-122,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-122"" OR ""microRNA-122"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",3
miR-122,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-122"" OR ""microRNA-122"")",21
miR-122,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-122"" OR ""microRNA-122"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",17
miR-122,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-122"" OR ""microRNA-122"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",17
miR-122,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-122"" OR ""microRNA-122"")",1
miR-122,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-122"" OR ""microRNA-122"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-122,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-122"" OR ""microRNA-122"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-124-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-124"" OR ""microRNA-124"")",25
miR-124-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-124"" OR ""microRNA-124"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",17
miR-124-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-124"" OR ""microRNA-124"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",23
miR-124-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-124"" OR ""microRNA-124"")",9
miR-124-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-124"" OR ""microRNA-124"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",4
miR-124-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-124"" OR ""microRNA-124"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",5
miR-124-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-124"" OR ""microRNA-124"")",0
miR-124-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-124"" OR ""microRNA-124"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-124-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-124"" OR ""microRNA-124"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-126,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-126"" OR ""microRNA-126"")",12
miR-126,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-126"" OR ""microRNA-126"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",8
miR-126,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-126"" OR ""microRNA-126"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-126,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-126"" OR ""microRNA-126"")",17
miR-126,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-126"" OR ""microRNA-126"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",16
miR-126,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-126"" OR ""microRNA-126"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",9
miR-126,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-126"" OR ""microRNA-126"")",14
miR-126,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-126"" OR ""microRNA-126"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",7
miR-126,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-126"" OR ""microRNA-126"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",8
miR-133a-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-133a"" OR ""microRNA-133a"")",2
miR-133a-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-133a"" OR ""microRNA-133a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",2
miR-133a-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-133a"" OR ""microRNA-133a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-133a-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-133a"" OR ""microRNA-133a"")",6
miR-133a-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-133a"" OR ""microRNA-133a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
miR-133a-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-133a"" OR ""microRNA-133a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",5
miR-133a-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-133a"" OR ""microRNA-133a"")",6
miR-133a-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-133a"" OR ""microRNA-133a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",4
miR-133a-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-133a"" OR ""microRNA-133a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-143-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-143"" OR ""microRNA-143"")",1
miR-143-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-143"" OR ""microRNA-143"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-143-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-143"" OR ""microRNA-143"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-143-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-143"" OR ""microRNA-143"")",13
miR-143-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-143"" OR ""microRNA-143"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",9
miR-143-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-143"" OR ""microRNA-143"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",8
miR-143-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-143"" OR ""microRNA-143"")",3
miR-143-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-143"" OR ""microRNA-143"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",2
miR-143-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-143"" OR ""microRNA-143"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",2
miR-181a-5p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-181a"" OR ""microRNA-181a"")",7
miR-181a-5p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-181a"" OR ""microRNA-181a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
miR-181a-5p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-181a"" OR ""microRNA-181a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-181a-5p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-181a"" OR ""microRNA-181a"")",14
miR-181a-5p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-181a"" OR ""microRNA-181a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",10
